"GUID","Status","Provider status","Type","Target group","Provider","Started","Status updated",""
"07141ebf-5722-89e2-d859-2a3fee81ba2a","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 19:35:15","2023-11-27 19:40:14",""
"dbcccc68-642b-19e8-008e-f8e7d9fcbbfd","Screenout","Screenout","Live","UNION CAPITAL","Cint","2023-11-27 19:17:42","2023-11-27 19:20:14",""
"2646f727-adb3-0152-8ac1-c36db78171ef","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 19:10:38","2023-11-27 19:20:14",""
"ba1edfd7-571a-08a9-d131-eb35baca4f41","Screenout","Screenout","Live","UNION CAPITAL","Cint","2023-11-27 18:44:06","2023-11-27 18:50:14",""
"df77ad58-fdb1-6050-b9be-995c5d9867ac","TimedOut","TimedOut","Live","URUGUAY & OCA","Cint","2023-11-27 18:25:22","2023-11-27 19:40:14",""
"493dfda1-2cde-39e8-f747-c916bc9aba7c","TimedOut","New","Live","UNION CAPITAL","Cint","2023-11-27 18:24:09","2023-11-27 20:05:12",""
"967ed71a-82f5-3d19-b0fc-e35519935081","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 18:22:47","2023-11-27 18:35:27",""
"89cf8457-3cbb-b132-06b1-b0e4bc7cf5cd","TimedOut","TimedOut","Live","URUGUAY & OCA","Cint","2023-11-27 18:02:50","2023-11-27 19:15:18",""
"00670746-a118-5d1e-aea0-334c30c1b2a4","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 17:58:19","2023-11-27 18:00:22",""
"7c5abe52-b7ea-6314-92b4-8a71b63362c4","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 17:44:47","2023-11-27 17:56:07",""
"b85c7341-feab-48a9-94a7-4777c2ec15dc","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 17:34:53","2023-11-27 17:40:15",""
"fb29b677-9f35-cf07-e191-820267864fe2","Screenout","Screenout","Live","Target group 1","Cint","2023-11-27 17:26:06","2023-11-27 17:30:15",""
"97edcb41-b8af-b224-25a7-ffc6b2daacd4","Complete","Complete","Live","Target group 1","Cint","2023-11-27 17:26:04","2023-11-27 17:35:40",""
"007e4832-296e-ccc0-b5d4-7c557eeb39a7","Complete","Complete","Live","Target group 1","Cint","2023-11-27 17:22:02","2023-11-27 17:31:03",""
"43eee555-b543-6e74-25b3-d1c52acbadc0","QualityTerminate","QualityTerminate","Live","Target group 1","Cint","2023-11-27 17:21:19","2023-11-27 17:25:15",""
"1dc8f20b-ce14-70e3-03ed-c6e33dab5edf","Complete","Complete","Live","Target group 1","Cint","2023-11-27 17:19:54","2023-11-27 17:31:03",""
"dcb77383-e6e9-a5c9-7c65-479c0cc3f216","QualityTerminate","QualityTerminate","Live","Target group 1","Cint","2023-11-27 17:15:46","2023-11-27 17:20:14",""
"ea7d3252-c420-d8d5-b6b4-0656f92613c7","TimedOut","TimedOut","Live","Target group 1","Cint","2023-11-27 17:13:55","2023-11-27 18:50:13",""
"f87f345e-a342-d5df-b4b8-0054f143b6c7","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 17:12:09","2023-11-27 17:31:03",""
"c16440a5-05ac-4f49-af43-744fa1a4d130","Complete","Complete","Live","Target group 1","Cint","2023-11-27 17:11:06","2023-11-27 17:25:45",""
"7c66755d-3f1b-7aa1-adbb-414d7217288a","Complete","Complete","Live","Target group 1","Cint","2023-11-27 17:11:04","2023-11-27 17:15:14",""
"0c07f730-09c9-f703-ccd6-c32cb3f998fb","Complete","Complete","Live","Target group 1","Cint","2023-11-27 17:09:43","2023-11-27 17:25:45",""
"ef312a62-8805-29c5-fa84-1e1a04355ff7","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 17:09:36","2023-11-27 17:20:29",""
"b8f56a4f-4e46-5fd3-3ea9-5ede166099d0","Screenout","Screenout","Live","Target group 1","Cint","2023-11-27 17:09:22","2023-11-27 17:15:13",""
"cfeddd86-9dc6-885d-2660-e9c668604810","TimedOut","TimedOut","Live","UNION CAPITAL","Cint","2023-11-27 17:07:25","2023-11-27 18:25:13",""
"905c82c3-44d7-db77-9725-b677668dd135","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 17:07:17","2023-11-27 17:15:14",""
"a6f40ba7-65e8-51b1-3f41-3fdfd6b9f17e","QualityTerminate","QualityTerminate","Live","Target group 1","Cint","2023-11-27 17:06:32","2023-11-27 17:10:15",""
