"GUID","Status","Provider status","Type","Target group","Provider","Started","Status updated",""
"714d3d9a-88fd-d340-7251-096619df480e","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-03 01:39:04","2024-02-03 01:40:15",""
"1a78408c-26d1-5833-4147-7453e9c2c41f","Screenout","Screenout","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-03 00:42:32","2024-02-03 00:45:19",""
"f4d82f7b-563f-9b6f-f2b0-1bf39277a093","QualityTerminate","QualityTerminate","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-03 00:10:29","2024-02-03 00:15:15",""
"e3fe57d0-bb5b-68e9-c51b-63d5aaa37c4c","Complete","Complete","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 23:19:17","2024-02-02 23:25:16",""
"eeb232a8-f365-41ce-8963-0699c4d53442","Complete","Complete","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 22:52:44","2024-02-02 23:00:13",""
"785f69b2-28df-d9b9-6579-5d740f6fcf26","Complete","Complete","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 22:40:23","2024-02-02 22:45:15",""
"1160b24b-a4cb-9d68-5a80-864b7e9b629a","QualityTerminate","QualityTerminate","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 22:06:50","2024-02-02 22:10:15",""
"ae23ec10-1ad5-5956-09db-d8086492ec8d","QualityTerminate","QualityTerminate","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 21:52:29","2024-02-02 21:55:15",""
"419cc27c-ee43-7720-b6b7-f6b7af340792","Complete","Complete","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 21:50:26","2024-02-02 21:55:15",""
"239f0d7e-870f-5eb6-bbb5-39b471c7679c","TimedOut","TimedOut","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 21:05:27","2024-02-02 23:25:16",""
"c73bd128-6780-6e36-11e3-e510eb7192fb","Screenout","Screenout","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-02 21:00:30","2024-02-02 21:05:15",""
"e1ebdad0-4340-6e7f-c11b-eec0da05b643","Complete","Complete","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 20:55:31","2024-02-02 21:00:15",""
"ff457cc9-ad79-9ba8-6202-486e16582c25","Screenout","Screenout","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 20:18:28","2024-02-02 20:21:19",""
"59b47e07-17b0-f57c-92cc-4a9f5e381494","Complete","Complete","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-02 19:32:42","2024-02-02 19:40:14",""
"ae08e900-687f-6d35-2ecb-dd23eb1be994","QualityTerminate","QualityTerminate","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 19:32:17","2024-02-02 19:35:15",""
"c75872a3-0d31-2fb2-7e68-4673fa6fe735","Screenout","Screenout","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 19:14:00","2024-02-02 19:15:19",""
"c63d6f9e-0760-3644-1b55-5b1660bae505","Complete","Complete","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-02 19:12:18","2024-02-02 19:20:20",""
"215e8295-d82c-3e75-745e-b6754d902903","Screenout","Screenout","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-02 18:39:34","2024-02-02 18:45:18",""
"9c701fc1-fd35-ab58-5a0a-2b5b79900a1b","QualityTerminate","QualityTerminate","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 18:17:59","2024-02-02 18:35:17",""
"fd899691-7f58-d3c3-a95a-a2a203ed9702","Complete","Complete","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-02 18:07:08","2024-02-02 18:10:15",""
"cf457b06-93c3-cfd0-6fcd-4f6e6f8a6290","TimedOut","TimedOut","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 17:50:56","2024-02-02 19:05:14",""
"e51eb86a-8080-0a42-3da1-8c35b7ce79f9","Complete","Complete","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 17:47:04","2024-02-02 17:55:17",""
"7efd6c44-d7ec-d1d4-d78f-58d65e922edc","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-02 17:35:30","2024-02-02 17:40:15",""
"4142a310-5874-17f2-68db-9769ed83a18d","QualityTerminate","QualityTerminate","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 17:31:29","2024-02-02 17:35:15",""
"d6c16bcd-31c4-df39-eb06-5fead063c420","QualityTerminate","QualityTerminate","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 17:30:05","2024-02-02 17:35:18",""
"beb97646-ee95-af85-9b8d-4292f14601d3","Screenout","Screenout","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-02 17:10:33","2024-02-02 17:15:16",""
"80fe6329-d7a0-df4f-d4e2-57d5105c20c8","Screenout","Screenout","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-02 16:56:23","2024-02-02 17:00:15",""
"5481663b-1f35-d2da-abf0-52aa3dc2eeea","Screenout","Screenout","Live","Uruguay / OCA - Includes Unión Capital panelists","Cint","2024-02-02 16:52:21","2024-02-02 16:55:15",""
"321ab2bb-6273-0e66-3070-86311b83972e","Screenout","Screenout","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-02 16:48:38","2024-02-02 16:51:19",""
"47010dfd-2bd9-b2e2-2b36-392aec22d23a","Complete","Complete","Live","Unión Capital - Includes Uruguay / OCA panelists","Cint","2024-02-02 16:20:50","2024-02-02 16:25:15",""
